Fold,MAE,RMSE,R2
1,0.11017706323361792,0.13694449411604145,0.2667666854436558
2,0.13046181079700775,0.1653691940668747,0.22880618089493387
3,0.12422207969732876,0.15294791286862902,0.3436831785894281
4,0.13397186214026294,0.1652318375583229,0.2229746942942279
5,0.12413763644404946,0.1535794979255695,0.33529284895155553
