Gene,SHAP_Importance
NCOA1,0.000515731
BRPF3,0.000515622
NSL1,0.00051495444
ZNF625,0.00051488925
RNF115,0.00051331706
DXO,0.0005106546
TTLL7,0.0005083608
GPR137C,0.00050652865
KIF1B,0.0005055225
TBC1D24,0.00050397654
PRUNE1,0.00049324374
SLC22A17,0.00049234316
SAMD11,0.00048210289
FIZ1,0.00048079502
TADA1,0.0004792013
ZNF529,0.0004791492
GSTA4,0.00047634428
KCTD2,0.0004754331
GPR89A,0.00047450652
ZNF580,0.0004738265
RND2,0.00047190447
MAGEH1,0.00046836596
C5orf34,0.00046770685
ZNF844,0.0004667659
TATDN2,0.00045564113
AR,0.0004539447
CDAN1,0.00045225155
S100PBP,0.0004515105
ZNF2,0.00044947004
PIP4K2B,0.00044597025
TSC2,0.00044430917
ZNF415,0.00044051255
TMSB15C,0.00043255798
TCN1,0.00043220093
ZNF517,0.00043051154
CSRNP2,0.0004294121
ZNF711,0.00042828498
ERI3,0.0004165833
ZNF569,0.00041443444
TUBA1A,0.0004099409
RC3H2,0.00040889045
AKAP5,0.00040752935
RUFY3,0.00040749388
ZNF346,0.00040731303
RNF187,0.0004065368
GDF6,0.00040297574
KRBA2,0.00040210597
BRINP1,0.00039818077
FAM168A,0.00039799325
WDR7,0.00039730212
THTPA,0.00039528657
CSTPP1,0.0003908384
TGFB3,0.0003900903
SEC61A2,0.00038857068
NBPF1,0.0003834061
IL1A,0.00038007155
MFAP4,0.00037816027
ZNF184,0.00037808678
STAU2,0.0003762231
SLC12A5,0.00037574803
ZNF260,0.0003726232
NIPAL1,0.00037174782
ZNF354C,0.0003701174
DVL3,0.00036823808
ZNF793,0.0003648716
SETBP1,0.00035984314
ZNF540,0.00035890494
SRSF12,0.0003585211
TBC1D10B,0.00035187427
MAGED4,0.00035069245
GUCY1B1,0.00034799142
RLBP1,0.00034397663
FBXO42,0.00034317613
ZNF519,0.00034156727
CYP46A1,0.00033982538
ZNF287,0.0003358209
CAMK1D,0.00033487903
PHF13,0.00033454745
ZNF571,0.00033199743
ZNF691,0.00033103768
USP30,0.00032718046
TCF4,0.00032663235
RRAGB,0.00031819413
PKD1,0.0003165858
CEP89,0.00031646795
SETD1A,0.00031619024
SPIN1,0.00031218646
CACFD1,0.0003118986
TRO,0.00031053467
SLC29A4,0.00030913114
NEXMIF,0.0003078375
HS3ST1,0.00030774056
ZNF304,0.00030756852
DOK6,0.00030589258
FTO,0.00030441603
CPLANE1,0.00030055307
SEMA5B,0.00029945944
SMARCC2,0.0002976575
MXD3,0.00029698698
FBXO21,0.00029667822
OSBPL11,0.00029604696
DPYSL5,0.00029535886
MEX3A,0.00029425276
ZNF724,0.0002848622
C16orf87,0.00028378237
ZNF776,0.00028371176
CCDC74B,0.00028050746
PDE6B,0.0002801465
LDOC1,0.00027991497
DCAKD,0.00027652967
ZNF829,0.00027621636
SPRR2D,0.00027561147
ZNF682,0.00027539575
TLCD5,0.0002740525
TMEFF2,0.00027328022
PLEKHO1,0.0002715993
ZNF607,0.00026873883
NUMBL,0.0002641868
ZFP28,0.000261199
KPNA5,0.00025689995
HIPK1,0.0002558019
TNRC6C,0.00025300897
IQCC,0.00024958007
ZBTB22,0.00024749534
MAGED1,0.00024689586
TAF9B,0.00024633735
ZSCAN18,0.00024431534
ZNF491,0.00024410493
NEURL1B,0.0002440141
NAP1L3,0.00024394879
IRAK1BP1,0.00023936949
CBX5,0.00023899616
ADGRB2,0.00023758909
USP37,0.00023717154
ZNF567,0.00023600116
SALL2,0.00023214352
MYEOV,0.00022992982
ZNF667,0.0002284195
ZNF527,0.00022764705
TNFRSF14,0.00022719381
RBBP4,0.00022652891
AGO1,0.00022547418
RAB11FIP3,0.00022300732
FAM220A,0.00022296433
ZNF43,0.00021711446
CITED2,0.00021590205
HSF2,0.00021563163
FAM156A,0.00020579706
SCML2,0.0002039938
PRR36,0.00020336892
TMEM178B,0.00020261003
GJB4,0.00020003384
ZFP30,0.0001992805
TMEM65,0.00019911713
YPEL1,0.00019613052
FAM120C,0.00019565907
ZNF709,0.00019495157
FOXO6,0.00019483516
RNF40,0.00019471183
ZNF420,0.0001931143
BTF3L4,0.0001927743
RAB23,0.00019008746
ALKBH5,0.00018784382
CREBBP,0.00018747916
TXNDC16,0.00018619397
C14orf132,0.0001843016
ZNF568,0.0001815211
ARHGAP33,0.0001790194
KAT6B,0.00017709829
THAP9,0.00016890356
PRRT3,0.00016885191
POU6F1,0.00016860204
CTDSPL2,0.00016699273
WNK3,0.00016300123
NTN3,0.00015888338
SOX12,0.00015804172
ULK1,0.00015794642
AS3MT,0.0001548785
MAZ,0.00015292184
SPEG,0.00014979437
UNKL,0.00014949733
PCNT,0.00014765085
GNAZ,0.00014151355
FNDC5,0.00014119784
ZNF764,0.00014107584
VPS45,0.00013906654
FGFR1,0.00013790945
TMEM179,0.00013359307
ZNF250,0.00013323178
APPBP2,0.00013189946
MSI1,0.00013083965
MTNAP1,0.0001280992
MRGPRX4,0.00012691403
MEAF6,0.00012405413
SPTBN4,0.00012291002
ALMS1,0.000121447345
SRP9,0.00011949554
C1QL1,0.00011891154
PXMP2,0.00011276683
TCERG1L,0.0001118212
GPR27,0.00011178984
SMIM10L2B,0.000111666595
GJB1,0.000111530004
ZNF669,0.00010987955
MYL6B,0.000105521875
SBK1,0.000103436825
ASH1L,0.000100251054
UBTF,9.975738e-05
VCF2,9.883852e-05
RBM4B,9.535871e-05
ZNF75A,9.525851e-05
UBQLN2,9.3693256e-05
KLHDC3,9.018338e-05
RPRD2,8.955186e-05
ZNF853,8.764118e-05
ZNF606,8.699339e-05
CCP110,8.602218e-05
