Fold,MAE,RMSE,R2
1,0.11619777919591186,0.14188235162823448,0.21293646276492662
2,0.13038428735345323,0.1648334086630517,0.23379532089385313
3,0.12269941415239753,0.15087432447392637,0.3613585495204724
4,0.13191137879379466,0.16282971485619957,0.24540309057059295
5,0.12360303517782281,0.15263805268024924,0.3434172061365397
