Model,MAE,RMSE,R2
Linear Regression,0.33394806481741085,0.42853893155903233,-6.180151400656901
Random Forest,0.11080443134605221,0.13646854449170634,0.27185452311703195
XGBoost,0.11447861981927562,0.14258165101550624,0.20515890041751172
