Gene,RF_Importance
ITGA6,0.05979861540576507
CLSTN2,0.05426814366393144
SH3TC2,0.024674020178833207
ETV4,0.011930517257792438
MED29,0.01016131559907823
TIGD7,0.008515984549259404
DIP2C,0.007354900341230626
SPRY4,0.007341706507399904
UBFD1,0.007040834730533549
RASL10B,0.007022454486528178
LYSMD1,0.006827015439712704
ANXA2R,0.006766700081264597
GADD45G,0.00651382851884362
DUSP6,0.006406572454829019
GPR156,0.0062447738011766575
ZNF248,0.005844408765279364
DNAH10OS,0.0058125394977838465
SYNC,0.005451034076497961
PTOV1,0.005248041163342294
DNAJB4,0.005116985111503161
CCDC127,0.00489997990862421
ZFP30,0.004853437444000364
PHLDA1,0.0045908730437063195
TMEM25,0.004494721606075514
ZNF730,0.004449878917008492
PLEKHG4B,0.004103726859406103
PRSS3,0.004055212918348383
PTPRH,0.004048572112263063
FRS2,0.00397559068326535
UCHL1,0.003910409347431742
ARHGAP44,0.0039006396350603494
KIAA0319,0.003894908351882191
DLG2,0.003889838661997381
ZNF93,0.003754629203829707
TAOK2,0.0037290405933875083
ZNF347,0.003667112130115579
ARNT,0.0035096717188750006
STAU2,0.0034991781679496185
CAND2,0.003491274029123987
FOSL1,0.0033380037201983306
ANKS3,0.0033303894040049614
EMP1,0.003281272176124127
FECH,0.0032395203500683646
ZFP3,0.003178111143429149
FAM110B,0.0031001942900300244
C16orf87,0.003092382355745243
WDR24,0.0030646772559995246
ZNF519,0.003050607076213849
GEMIN2,0.0030452453880753807
EML1,0.003042067567308958
SUSD4,0.0030359017856069004
BBOF1,0.0030218578533490444
CCDC117,0.0030191450946098217
RNF115,0.002984091097032223
MBP,0.0029689075702561156
LSM14A,0.0029665532294856096
GDF15,0.0029651466661302426
NUDT16L1,0.0029643991237573815
CASTOR2,0.002942898910798303
ANKRD13C,0.002914557968423751
VASN,0.0029132121500759505
DNAAF8,0.002908596056175698
REEP1,0.0029020914668185295
FLYWCH2,0.0028770684434479827
ETHE1,0.0028765674909257363
FANCC,0.0028606469954048017
TMEM178B,0.002801201001320859
ZSWIM9,0.0027911635155856247
ZNF667,0.002778043543977156
ZNF260,0.0027359613855381087
FMN1,0.002723840422413771
GOLM2,0.002701682740435466
ERCC4,0.0026849278482077668
MAPK9,0.0026769663424633418
JADE1,0.0026759847044198746
GSTO1,0.002643051632800481
GPR173,0.002634293495905645
ZNF33A,0.002617649259567646
ZNF677,0.0026067610430910485
EFHD1,0.0026001853760047205
TSPYL5,0.0025888110660587257
QRICH2,0.0025846041062647022
CMTM7,0.0025795988809143877
PRSS33,0.002564248361710613
LMBRD2,0.002552544232633803
GKAP1,0.0025306049629076365
NPAS2,0.00249010542845934
NXPE3,0.0024856397728071837
GINM1,0.0024799851089338733
MGA,0.002470942548273648
NUBP2,0.0024655044327237096
GPR137C,0.0024651362212358063
SAMD11,0.002434718830266467
SMARCC2,0.002431817829391911
ZNF736,0.002431454892787113
SNAP47,0.002426662834828692
RHBDL3,0.0024266096633336915
CCDC142,0.002426170112998399
TCN1,0.002406007136633943
CPE,0.0023935455461380185
PRRT3,0.0023924745657404093
RAP2B,0.002372995486340655
MAP3K2,0.0023090979572144765
ZNF253,0.0023059355363903656
TECTA,0.002292286887333981
